Ref,Val,Package,PosX,PosY,Rot,Side
BT1,Lipo Cell,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,184.614214,-102.614214,-90,top
BT3,Lipo Cell,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,241.86413,-102.615,90,top
C1,8p,C_0402_1005Metric,201.139214,-130.799214,45,top
C2,8p,C_0402_1005Metric,203.214214,-136.414214,-135,top
C3,8p,C_0402_1005Metric,192.639214,-126.009214,45,top
C4,8p,C_0402_1005Metric,188.618625,-128.328625,135,top
C5,100n,C_0402_1005Metric,193.349214,-126.689214,45,top
C6,4u7,C_0805_2012Metric,185.919214,-132.739214,135,top
C8,1u,C_0603_1608Metric,199.014214,-132.214214,45,top
C9,100p,C_0402_1005Metric,199.814214,-136.084214,-45,top
C10,4u7,C_0805_2012Metric,186.759214,-137.369214,-135,top
C11,100n,C_0402_1005Metric,192.074214,-140.844214,-45,top
C13,100n,C_0402_1005Metric,189.464214,-138.824214,-135,top
C14,47n,C_0402_1005Metric,196.309214,-129.919214,-135,top
C15,1u,C_0603_1608Metric,195.559214,-128.789214,45,top
C16,100n,C_0402_1005Metric,188.014214,-132.414214,135,top
C17,4u7,C_0805_2012Metric,185.314214,-135.914214,-135,top
C18,0.5pF,C_0402_1005Metric,199.914214,-139.714214,45,top
C19,0.8pF,C_0402_1005Metric,197.714214,-137.514214,45,top
C20,1u,C_0603_1608Metric,195.966206,-105.966206,-45,top
C22,4u7,C_0805_2012Metric,190.814214,-102.564213,-90,top
C24,1u,C_0603_1608Metric,200.864214,-125.064214,135,top
C25,4u7,C_0805_2012Metric,195.014214,-109.614214,45,top
C26,100n,C_0402_1005Metric,183.975,-111.705,90,top
C32,0.5pF,C_0402_1005Metric,228.565,-141.465,-45,top
C33,8p,C_0402_1005Metric,232.265,-143.815,135,top
C34,8p,C_0402_1005Metric,238.065,-142.115,-45,top
C35,0.8pF,C_0402_1005Metric,230.665,-139.365,-45,top
C36,8p,C_0402_1005Metric,241.415,-132.765,135,top
C37,8p,C_0402_1005Metric,240.09,-131.39,-45,top
C38,100n,C_0402_1005Metric,242.404411,-134.554411,-45,top
