Designator,Footprint,Quantity,Value,LCSC Part #
"AE1, AE2",BLE_ANTENNA,2,Antenna_Shield,
"BT1, BT3",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,Lipo Cell,
"C1, C2, C3, C33, C34, C36, C37, C4",0402,8,8p,
"C10, C17, C22, C25, C45, C47, C52, C54, C55, C6",0805,10,4u7,
"C11, C13, C16, C26, C38, C49, C5, C50, C51, C56",0402,10,100n,
"C14, C42",0402,2,47n,
"C15, C20, C24, C43, C46, C48, C53, C8",0603,8,1u,
"C18, C32",0402,2,0.5pF,
"C19, C35",0402,2,0.8pF,
"C40, C9",0402,2,100p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-123,42,1N4148W,
"J1, J7",OLED,2,OLED Connector,
"J10, J2",PinHeader_2x03_P2.54mm_Vertical,2,Tag connect TC2030-CTX,
"J11, J3",TYPE-C-31-M-13C,2,USB C 2.0 Connector,
"J4, J5, J8, J9",TE_2199248-6,4,Conn_01x01_Socket,C3308715
"L1, L3, L6, L7",0603,4,10uH,
"L2, L8",0402,2,15nH,
"L4, L5",0402,2,4.7nH,
"Q1, Q5",SOT-23,2,BSS84,
"Q2, Q6",SOT-23,2,BSS138,
"R1, R23",0603,2,100k,
"R10, R11, R21, R22",0402,4,2k2,
"R2, R24, R25, R3",0402,4,5k1,
"R26, R28, R30, R31, R4, R6, R8, R9",0402,8,10k,
"R27, R5",0402,2,3k2,
"R29, R7",0402,2,5k9,
"SW1, SW46",SW_Push_SPST_NO_Alps_SKRK,2,RESET,C720477
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW3, SW4, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW8, SW9",keyswitch_choc12_hotswap_1u,42,SW_Push,
"SW23, SW48",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,2,EC11 Encoder,
"SW24, SW47",SW_SPDT_CK_JS102011SAQN,2,ON/OFF,C49023767
"TH1, TH3",0402,2,10k,C209959
"TP1, TP2",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
"U1, U7",Nordic_AQFN-73-1EP_7x7mm_P0.5mm,2,nRF52840,
"U10, U3",SOT-23-6,2,USBLC6-2SC6,
"U2, U9",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24073RGT,
"U4_2, U4",VSSOP-10_3x3mm_P0.5mm,2,DRV2605LDGS,
"Y1, Y3",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,32MHz,C2149125
"Y2, Y4",Crystal_SMD_3215-2Pin_3.2x1.5mm,2,32.768kHz,C32346
