Designator,Mid X,Mid Y,Rotation,Layer
AE1,203.914214,-141.854214,270.0,top
AE2,222.54413,-141.865,270.0,bottom
BT1,184.614214,-102.614214,90.0,top
BT3,241.86413,-102.615,270.0,top
C1,201.139214,-130.799214,45.0,top
C10,186.759214,-137.369214,225.0,top
C11,192.074214,-140.844214,315.0,top
C13,189.464214,-138.824214,225.0,top
C14,196.309214,-129.919214,225.0,top
C15,195.559214,-128.789214,45.0,top
C16,188.014214,-132.414214,135.0,top
C17,185.314214,-135.914214,225.0,top
C18,199.914214,-139.714214,45.0,top
C19,197.714214,-137.514214,45.0,top
C2,203.214214,-136.414214,225.0,top
C20,195.966206,-105.966206,315.0,top
C22,190.814214,-102.564213,270.0,top
C24,200.864214,-125.064214,135.0,top
C25,195.014214,-109.614214,45.0,top
C26,183.975,-111.705,90.0,top
C3,192.639214,-126.009214,45.0,top
C32,228.565,-141.465,315.0,top
C33,232.265,-143.815,135.0,top
C34,238.065,-142.115,315.0,top
C35,230.665,-139.365,315.0,top
C36,241.415,-132.765,135.0,top
C37,240.09,-131.39,315.0,top
C38,242.404411,-134.554411,315.0,top
C4,188.618625,-128.328625,135.0,top
C40,231.865,-141.265,225.0,top
C42,238.79,-137.04,135.0,top
C43,240.115,-136.54,315.0,top
C45,233.065,-126.765,135.0,top
C46,223.105,-118.015,0.0,top
C47,235.59,-128.415,45.0,top
C48,236.615,-140.065,315.0,top
C49,236.165,-129.965,45.0,top
C5,193.349214,-126.689214,45.0,top
C50,229.205,-131.315,135.0,top
C51,227.365,-133.765,225.0,top
C52,231.315,-127.965,135.0,top
C53,232.605,-103.915,90.0,top
C54,228.255,-111.315,90.0,top
C55,235.235,-102.515,90.0,top
C56,245.1075,-108.565,90.0,top
C6,185.919214,-132.739214,135.0,top
C8,199.014214,-132.214214,45.0,top
C9,199.814214,-136.084214,315.0,top
D1,165.514214,-115.514214,90.0,top
D10,108.014214,-131.964214,90.0,top
D11,89.014214,-134.714214,90.0,top
D12,69.514214,-134.714214,90.0,top
D13,165.014214,-153.664214,90.0,top
D14,146.014214,-153.664214,90.0,top
D15,127.014214,-150.614214,90.0,top
D16,108.014214,-151.114214,90.0,top
D17,89.014214,-153.864214,90.0,top
D18,69.514214,-153.864214,90.0,top
D19,186.277122,-181.166803,65.0,top
D2,146.014214,-115.514214,90.0,top
D20,166.53416,-175.155422,75.0,top
D21,146.014214,-174.664214,90.0,top
D3,127.014214,-112.614214,90.0,top
D4,108.014214,-113.114214,90.0,top
D43,252.8125,-117.645,180.0,top
D44,267.265,-115.465,90.0,top
D45,286.065,-112.615,90.0,top
D46,305.065,-112.665,90.0,top
D47,324.065,-115.265,90.0,top
D48,342.865,-115.865,90.0,top
D49,253.365,-136.725,180.0,top
D5,89.014214,-115.714214,90.0,top
D50,266.665,-134.665,90.0,top
D51,285.465,-131.465,90.0,top
D52,304.665,-132.065,90.0,top
D53,323.865,-134.715,90.0,top
D54,342.665,-134.665,90.0,top
D55,248.405,-153.365,90.0,top
D56,267.265,-153.465,90.0,top
D57,286.065,-150.865,90.0,top
D58,305.265,-151.265,90.0,top
D59,324.065,-153.665,90.0,top
D6,70.014214,-115.864214,90.0,top
D60,342.865,-153.865,90.0,top
D61,227.865,-186.865,115.0,top
D62,246.465,-178.865,105.0,top
D63,266.865,-174.665,90.0,top
D7,165.014214,-134.664214,90.0,top
D8,146.014214,-134.664214,90.0,top
D9,127.014214,-131.464214,90.0,top
H1,187.719214,-167.559214,0.0,top
H10,340.26413,-141.665,0.0,top
H2,162.215,-105.715,0.0,top
H3,162.215,-141.665,0.0,top
H4,86.215,-105.665,0.0,top
H5,86.215,-141.665,0.0,top
H6,238.76413,-167.565,0.0,top
H7,264.26413,-105.715,0.0,top
H8,264.26413,-141.665,0.0,top
H9,340.26413,-105.665,0.0,top
J1,194.639214,-145.589214,0.0,top
J10,219.109999,-127.414998,180.0,top
J11,224.91413,-99.14,180.0,top
J2,177.81291952723538,-158.3940465410991,75.0,top
J3,201.55035,-99.165214,180.0,top
J4,195.965,-118.965,180.0,top
J5,195.115,-122.595,90.0,top
J7,231.83413,-145.565,0.0,top
J8,230.46413,-118.915,0.0,top
J9,231.41413,-122.565,90.0,top
L1,194.639214,-127.169214,45.0,top
L2,196.439214,-126.099214,315.0,top
L3,184.214214,-133.514214,135.0,top
L4,229.265,-140.065,45.0,top
L5,198.457161,-138.957161,135.0,top
L6,241.695,-135.805,315.0,top
L7,234.465,-125.515,135.0,top
L8,242.965,-137.365,225.0,top
Q1,185.414214,-109.214214,180.0,top
Q2,193.014214,-114.214214,315.0,top
Q5,241.255,-109.065,0.0,top
Q6,233.911551,-113.871551,315.0,top
R1,187.614214,-111.414214,45.0,top
R10,204.964214,-124.864214,225.0,top
R11,204.708579,-126.908579,45.0,top
R2,203.414214,-105.814214,0.0,top
R21,223.255,-126.065,45.0,top
R22,220.655,-119.615,270.0,top
R23,240.955,-111.665,0.0,top
R24,226.865,-105.865,0.0,top
R25,222.665,-105.865,0.0,top
R26,243.955,-108.565,270.0,top
R27,234.465,-110.665,135.0,top
R28,246.305,-108.565,90.0,top
R29,237.865,-109.265,45.0,top
R3,199.214214,-105.814214,0.0,top
R30,230.805,-109.215,225.0,top
R31,231.655,-110.015,225.0,top
R4,182.809214,-110.659214,270.0,top
R5,194.814214,-107.614214,225.0,top
R6,182.799214,-112.759214,270.0,top
R7,192.614214,-105.414214,135.0,top
R8,204.514214,-119.764214,0.0,top
R9,204.014214,-118.514214,0.0,top
SW1,139.414214,-160.514214,0.0,top
SW10,133.914214,-123.994214,0.0,top
SW11,114.864214,-124.514214,0.0,top
SW12,95.814214,-127.264214,0.0,top
SW13,76.764214,-127.264214,0.0,top
SW14,172.014214,-146.114214,0.0,top
SW15,152.964214,-146.114214,0.0,top
SW16,133.914214,-143.064214,0.0,top
SW17,114.864214,-143.564214,0.0,top
SW18,95.814214,-146.314214,0.0,top
SW19,76.764214,-146.314214,0.0,top
SW2,172.014214,-108.014214,0.0,top
SW20,195.790913,-177.327822,335.0,top
SW21,175.275606,-169.577822,345.0,top
SW22,153.014214,-167.014214,0.0,top
SW23,194.189214,-155.089214,0.0,top
SW24,207.814214,-113.414214,90.0,top
SW3,152.964214,-108.014214,0.0,top
SW4,133.914214,-104.964214,0.0,top
SW46,225.555,-127.415,225.0,top
SW47,218.66413,-113.415,270.0,top
SW48,231.789916,-155.089214,0.0,top
SW49,254.45413,-108.025,0.0,top
SW5,114.864214,-105.464214,0.0,top
SW50,273.50413,-108.025,0.0,top
SW51,292.56413,-104.965,0.0,top
SW52,311.61413,-105.465,0.0,top
SW53,330.66413,-108.215,0.0,top
SW54,349.71413,-108.215,0.0,top
SW55,254.46413,-127.065,0.0,top
SW56,273.51413,-127.065,0.0,top
SW57,292.56413,-124.015,0.0,top
SW58,311.61413,-124.515,0.0,top
SW59,330.66413,-127.265,0.0,top
SW6,95.814214,-108.214214,0.0,top
SW60,349.71413,-127.265,0.0,top
SW61,254.46413,-146.115,0.0,top
SW62,273.51413,-146.115,0.0,top
SW63,292.56413,-143.065,0.0,top
SW64,311.61413,-143.565,0.0,top
SW65,330.66413,-146.315,0.0,top
SW66,349.71413,-146.315,0.0,top
SW67,230.66413,-177.315,25.0,top
SW68,251.21413,-169.588505,15.0,top
SW69,273.46413,-167.015,0.0,top
SW7,76.764214,-108.214214,0.0,top
SW8,172.014214,-127.064214,0.0,top
SW9,152.964214,-127.064214,0.0,top
TH1,162.014214,-116.614214,270.0,top
TH3,264.46413,-116.615,270.0,top
TP1,139.514214,-165.014214,0.0,top
TP2,218.305,-121.215,0.0,top
U1,193.214214,-134.914214,315.0,top
U10,225.00163,-108.865,90.0,top
U2,191.014214,-107.648529,315.0,top
U3,201.46285,-108.614214,90.0,top
U4_2,224.655,-120.765,0.0,top
U4,201.608579,-122.208579,135.0,top
U7,233.256771,-134.915,225.0,top
U9,235.407893,-107.704169,225.0,top
Y1,201.414214,-134.214214,135.0,top
Y2,191.139214,-128.809214,225.0,top
Y3,234.615,-142.415,45.0,top
Y4,239.415,-133.065,135.0,top
